,title,budget,revenue,RB Ratio,metascore
Cold Mountain,Cold Mountain,79000000,173013509,2.190044418,73
The Book of Eli,The Book of Eli,80000000,157107755,1.963846938,53
Flubber,Flubber,80000000,177977226,2.224715325,37
The Haunting,The Haunting,80000000,91188905,1.139861313,42
Space Jam,Space Jam,80000000,250200000,3.1275,59
The Day the Earth Stood Still,The Day the Earth Stood Still,80000000,233093859,2.913673238,40
Conspiracy Theory,Conspiracy Theory,75000000,136982834,1.826437787,49
Fury,Fury,68000000,211817906,3.114969206,64
Six Days Seven Nights,Six Days Seven Nights,70000000,164000000,2.342857143,51
Yogi Bear,Yogi Bear,80000000,201584141,2.519801763,35
Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,80000000,122563539,1.532044238,52
Zookeeper,Zookeeper,80000000,169852759,2.123159488,30
Lost in Space,Lost in Space,80000000,136159423,1.701992788,42
The Manchurian Candidate,The Manchurian Candidate,80000000,96105964,1.20132455,76
Hotel Transylvania 2,Hotel Transylvania 2,80000000,473226958,5.915336975,44
Fantasia 2000,Fantasia 2000,80000000,90874570,1.135932125,59
The Time Machine,The Time Machine,80000000,123729176,1.5466147,42
Swordfish,Swordfish,102000000,147080413,1.441964833,32
The Legend of Zorro,The Legend of Zorro,75000000,142400065,1.898667533,47
What Dreams May Come,What Dreams May Come,85000000,71485043,0.841000506,44
The Brothers Grimm,The Brothers Grimm,88000000,105316267,1.196775761,51
Mars Attacks!,Mars Attacks!,70000000,101371017,1.448157386,52
Surrogates,Surrogates,80000000,122444772,1.53055965,45
Thirteen Days,Thirteen Days,80000000,34566746,0.432084325,67
Battlefield Earth,Battlefield Earth,44000000,21400000,0.486363636,9
Looney Tunes: Back in Action,Looney Tunes: Back in Action,80000000,68514844,0.85643555,64
Nine,Nine,80000000,53825515,0.672818938,49
Timeline,Timeline,80000000,19480739,0.243509238,28
The Postman,The Postman,80000000,17626234,0.220327925,29
Babe: Pig in the City,Babe: Pig in the City,90000000,69131860,0.768131778,68
The Last Witch Hunter,The Last Witch Hunter,90000000,146936910,1.632632333,34
Red Planet,Red Planet,80000000,33463969,0.418299613,34
Arthur and the Invisibles,Arthur and the Invisibles,86000000,107944236,1.255165535,39
A Sound of Thunder,A Sound of Thunder,80000000,5989640,0.0748705,24
Pompeii,Pompeii,130000000,117831631,0.906397162,39
A Beautiful Mind,A Beautiful Mind,60000000,313542341,5.225705683,72
Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,79000000,355692760,4.50244,41
Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,78000000,248384621,3.184418218,59
Red Dragon,Red Dragon,78000000,209196298,2.682003821,60
Hidalgo,Hidalgo,100000000,108103450,1.0810345,54
Jack and Jill,Jack and Jill,79000000,149673788,1.894604911,23
2 Fast 2 Furious,2 Fast 2 Furious,76000000,236350661,3.109877118,38
The Little Prince,The Little Prince,64000000,97571250,1.524550781,70
The Invasion,The Invasion,80000000,15071514,0.188393925,45
The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,76000000,35134820,0.462300263,36
The Secret Life of Pets,The Secret Life of Pets,75000000,875958308,11.67944411,61
The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,78000000,179265204,2.298271846,30
Despicable Me 2,Despicable Me 2,76000000,970761885,12.7731827,62
Independence Day,Independence Day,75000000,816969268,10.89292357,59
The Lost World: Jurassic Park,The Lost World: Jurassic Park,73000000,229074524,3.138007178,59
Madagascar,Madagascar,75000000,532680671,7.102408947,57
Children of Men,Children of Men,76000000,69959751,0.920523039,84
X-Men,X-Men,75000000,296339527,3.951193693,64
Wanted,Wanted,75000000,258270008,3.443600107,64
The Rock,The Rock,75000000,335062621,4.467501613,58
Ice Age: The Meltdown,Ice Age: The Meltdown,80000000,660940780,8.26175975,58
50 First Dates,50 First Dates,75000000,196482882,2.61977176,48
Hairspray,Hairspray,50000000,90450008,1.80900016,81
Exorcist: The Beginning,Exorcist: The Beginning,80000000,78000586,0.975007325,30
Now You See Me,Now You See Me,75000000,117698894,1.569318587,50
Grown Ups,Grown Ups,80000000,271430189,3.392877363,30
The Terminal,The Terminal,60000000,219417255,3.65695425,55
Hotel for Dogs,Hotel for Dogs,35000000,73034460,2.086698857,51
Vertical Limit,Vertical Limit,75000000,215663859,2.87551812,48
Charlie Wilson's War,Charlie Wilson's War,75000000,119000410,1.586672133,69
Shark Tale,Shark Tale,75000000,367275019,4.897000253,48
Dreamgirls,Dreamgirls,70000000,154937680,2.213395429,76
Be Cool,Be Cool,53000000,95226116,1.79671917,37
Munich,Munich,70000000,130358911,1.862270157,74
Tears of the Sun,Tears of the Sun,70000000,85632458,1.223320829,48
Killers,Killers,75000000,98159963,1.308799507,21
The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,75000000,108145109,1.441934787,56
Spanglish,Spanglish,80000000,55041367,0.688017088,48
Monster House,Monster House,75000000,140175006,1.86900008,68
Bandits,Bandits,75000000,67631903,0.901758707,60
Immortals,Immortals,75000000,226904017,3.025386893,46
Hostage,Hostage,52000000,77944725,1.498937019,44
Titan A.E.,Titan A.E.,75000000,36754634,0.490061787,48
Hollywood Homicide,Hollywood Homicide,75000000,51142659,0.68190212,47
Monkeybone,Monkeybone,75000000,5409517,0.072126893,40
Flight of the Phoenix,Flight of the Phoenix,45000000,21009180,0.466870667,47
Unbreakable,Unbreakable,75000000,248118121,3.308241613,62
Sucker Punch,Sucker Punch,82000000,89792502,1.095030512,33
Snake Eyes,Snake Eyes,73000000,103891409,1.423169986,52
Sphere,Sphere,75000000,13100000,0.174666667,35
The Angry Birds Movie,The Angry Birds Movie,73000000,349779543,4.791500589,43
Fool's Gold,Fool's Gold,70000000,111231041,1.589014871,29
Funny People,Funny People,75000000,61458982,0.819453093,60
The Kingdom,The Kingdom,70000000,86658558,1.2379794,56
Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,72500000,162966177,2.247809338,66
Dr. Dolittle 2,Dr. Dolittle 2,70000000,176104344,2.515776343,49
Braveheart,Braveheart,72000000,210000000,2.916666667,68
Jarhead,Jarhead,72000000,96889998,1.345694417,58
The Simpsons Movie,The Simpsons Movie,75000000,527068851,7.02758468,80
The Majestic,The Majestic,72000000,37317558,0.518299417,27
Driven,Driven,94000000,54744738,0.58239083,29
Two Brothers,Two Brothers,74500000,62172050,0.834524161,63
The Village,The Village,60000000,256697520,4.278292,44
Doctor Dolittle,Doctor Dolittle,71000000,294456605,4.147276127,46
Signs,Signs,72000000,408247917,5.670109958,59
Shrek 2,Shrek 2,150000000,919838758,6.132258387,75
Cars,Cars,120000000,461983149,3.849859575,73
Runaway Bride,Runaway Bride,70000000,309457509,4.420821557,39
xXx,xXx,70000000,277448382,3.963548314,48
The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,74000000,311594032,4.210730162,62
Ransom,Ransom,80000000,309492681,3.868658513,60
Inglourious Basterds,Inglourious Basterds,70000000,319131050,4.559015,69
Hook,Hook,70000000,300854823,4.297926043,52
Die Hard 2,Die Hard 2,70000000,240031094,3.429015629,67
S.W.A.T.,S.W.A.T.,80000000,116643346,1.458041825,45
Vanilla Sky,Vanilla Sky,68000000,203388341,2.991005015,45
Lady in the Water,Lady in the Water,75000000,42285169,0.563802253,36
Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,75000000,443140005,5.9085334,41
We Were Soldiers,We Were Soldiers,75000000,114660784,1.528810453,65
Olympus Has Fallen,Olympus Has Fallen,70000000,161025640,2.300366286,41
Star Trek: Insurrection,Star Trek: Insurrection,70000000,118000000,1.685714286,64
Battle: Los Angeles,Battle: Los Angeles,70000000,202466756,2.892382229,37
Big Fish,Big Fish,70000000,122919055,1.7559865,58
War Horse,War Horse,66000000,177584879,2.690679985,72
The Monuments Men,The Monuments Men,70000000,154984035,2.214057643,52
The Abyss,The Abyss,70000000,90000098,1.285715686,62
Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,70000000,134748021,1.924971729,59
Dracula Untold,Dracula Untold,70000000,215529201,3.078988586,40
The Siege,The Siege,70000000,116672912,1.666755886,53
Stardust,Stardust,70000000,135560026,1.9365718,66
Seven Years in Tibet,Seven Years in Tibet,70000000,131457682,1.877966886,55
The Dilemma,The Dilemma,70000000,67112664,0.958752343,46
Bad Company,Bad Company,70000000,65977295,0.942532786,37
Doom,Doom,60000000,55987321,0.933122017,34
I Spy,I Spy,70000000,33561137,0.479444814,35
Underworld: Awakening,Underworld: Awakening,70000000,160112671,2.287323871,39
Rock of Ages,Rock of Ages,75000000,59418613,0.792248173,47
Hart's War,Hart's War,70000000,32287044,0.461243486,49
Killer Elite,Killer Elite,66000000,57777106,0.875410697,44
Ballistic: Ecks vs. Sever,Ballistic: Ecks vs. Sever,70000000,19924033,0.284629043,19
Hard Rain,Hard Rain,70000000,19870567,0.283865243,36
Osmosis Jones,Osmosis Jones,75000000,13596911,0.181292147,57
Legends of Oz: Dorothy's Return,Legends of Oz: Dorothy's Return,70000000,18662027,0.266600386,25
Blackhat,Blackhat,70000000,17752940,0.253613429,51
Sky Captain and the World of Tomorrow,Sky Captain and the World of Tomorrow,70000000,57958696,0.827981371,64
Basic Instinct 2,Basic Instinct 2,70000000,38629478,0.551849686,26
Escape Plan,Escape Plan,50000000,122915111,2.45830222,49
The Legend of Hercules,The Legend of Hercules,70000000,61279452,0.875420743,22
The Sum of All Fears,The Sum of All Fears,68000000,193000000,2.838235294,45
The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,68000000,698491347,10.27193157,58
The Score,The Score,68000000,71069884,1.045145353,71
Despicable Me,Despicable Me,69000000,543513985,7.877014275,72
Ted 2,Ted 2,68000000,217022588,3.191508647,48
Agora,Agora,70000000,39041505,0.557735786,55
Mystery Men,Mystery Men,68000000,29762011,0.437676632,65
Hall Pass,Hall Pass,36000000,83160734,2.310020389,45
The Insider,The Insider,90000000,60289912,0.669887911,84
The Finest Hours,The Finest Hours,80000000,52099090,0.651238625,58
Body of Lies,Body of Lies,70000000,113280098,1.618287114,57
Dinner for Schmucks,Dinner for Schmucks,69000000,86387857,1.251997928,56
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,69000000,112265139,1.627031,42
Entrapment,Entrapment,66000000,212404396,3.218248424,54
The X Files,The X Files,66000000,189198313,2.866641106,60
The Last Legion,The Last Legion,67000000,25303038,0.377657284,37
Saving Private Ryan,Saving Private Ryan,70000000,481840909,6.883441557,91
Need for Speed,Need for Speed,66000000,203277636,3.079964182,39
What Women Want,What Women Want,70000000,374111707,5.344452957,47
Ice Age,Ice Age,59000000,383257136,6.495883661,60
Dreamcatcher,Dreamcatcher,68000000,75715436,1.113462294,35
Lincoln,Lincoln,65000000,275293450,4.235283846,86
The Matrix,The Matrix,63000000,463517383,7.357418778,73
Apollo 13,Apollo 13,52000000,355237933,6.831498712,77
The Santa Clause 2,The Santa Clause 2,65000000,172855065,2.659308692,48
You've Got Mail,You've Got Mail,65000000,250821495,3.858792231,57
Step Brothers,Step Brothers,65000000,128107642,1.9708868,51
The Mask of Zorro,The Mask of Zorro,95000000,250288523,2.634616032,63
Due Date,Due Date,65000000,211780824,3.258166523,51
Unbroken,Unbroken,65000000,163442937,2.514506723,59
Space Cowboys,Space Cowboys,65000000,128884132,1.9828328,73
Cliffhanger,Cliffhanger,70000000,255000211,3.642860157,60
Broken Arrow,Broken Arrow,50000000,150270147,3.00540294,61
World Trade Center,World Trade Center,63000000,162945894,2.586442762,66
The Dictator,The Dictator,65000000,179379533,2.759685123,58
Eyes Wide Shut,Eyes Wide Shut,65000000,162091208,2.493710892,68
Annie,Annie,65000000,133821816,2.058797169,39
Focus,Focus,50100000,153962963,3.073113034,56
This Means War,This Means War,65000000,156974557,2.414993185,31
Blade: Trinity,Blade: Trinity,65000000,128905366,1.983159477,38
Red Dawn,Red Dawn,4200000,38376497,9.13726119,31
Resident Evil: Retribution,Resident Evil: Retribution,65000000,240159255,3.694757769,39
Death Race,Death Race,45000000,73762516,1.639167022,43
The Long Kiss Goodnight,The Long Kiss Goodnight,65000000,89456761,1.376257862,44
Zathura: A Space Adventure,Zathura: A Space Adventure,65000000,64321501,0.989561554,67
Fight Club,Fight Club,63000000,100853753,1.600853222,66
We Are Marshall,We Are Marshall,65000000,43545364,0.669928677,53
Hudson Hawk,Hudson Hawk,65000000,17218080,0.264893538,17
"I, Frankenstein","I, Frankenstein",65000000,71154592,1.094686031,30
Oliver Twist,Oliver Twist,50000000,42093706,0.84187412,65
Elektra,Elektra,43000000,56681566,1.318175953,34
Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,65000000,39407616,0.606271015,46
Random Hearts,Random Hearts,64000000,74608570,1.165758906,38
Everest,Everest,55000000,203427584,3.698683345,64
Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,50000000,132180323,2.64360646,56
Austin Powers in Goldmember,Austin Powers in Goldmember,63000000,296655431,4.708816365,62
Astro Boy,Astro Boy,65000000,44091067,0.678324108,53
Jurassic Park,Jurassic Park,63000000,920100000,14.6047619,68
Wyatt Earp,Wyatt Earp,63000000,25052000,0.397650794,47
Clear and Present Danger,Clear and Present Danger,62000000,215887717,3.482059952,74
Dragon Blade,Dragon Blade,65000000,121545703,1.869933892,41
Little Man,Little Man,64000000,101595121,1.587423766,26
U-571,U-571,62000000,127666415,2.059135726,62
The American President,The American President,62000000,107879496,1.739991871,67
The Love Guru,The Love Guru,62000000,41819064,0.674501032,24
3000 Miles to Graceland,3000 Miles to Graceland,62000000,18720175,0.301938306,21
The Hateful Eight,The Hateful Eight,44000000,155760117,3.540002659,68
Hop,Hop,63000000,183953723,2.919900365,41
300,300,65000000,422610419,6.501698754,52
Meet the Fockers,Meet the Fockers,80000000,516642939,6.458036738,41
