Title,Title,Budget,Revenue,BD Ratio,IMDB score
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,3.594791036,6.20
Pride & Prejudice,Pride & Prejudice,28000000,121147947,4.326712393,7.80
Blade Runner,Blade Runner,28000000,33139618,1.183557786,8.10
Rob Roy,Rob Roy,28000000,31596911,1.128461107,6.90
3 Days to Kill,3 Days to Kill,28000000,52597999,1.878499964,6.20
We Own the Night,We Own the Night,21000000,54926886,2.615566,6.80
Winged Migration,Winged Migration,35866397,20217080,0.563677472,7.90
Just My Luck,Just My Luck,28000000,38159905,1.36285375,5.40
"Mystery, Alaska","Mystery, Alaska",28000000,8888143,0.317433679,6.70
The Spy Next Door,The Spy Next Door,28000000,45236543,1.615590821,5.40
A Simple Wish,A Simple Wish,28000000,8345056,0.298037714,5.40
Ghosts of Mars,Ghosts of Mars,28000000,14010832,0.500386857,4.90
Our Brand Is Crisis,Our Brand Is Crisis,28000000,7002261,0.25008075,6.10
Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,28000000,16374328,0.584797429,5.80
Kundun,Kundun,28000000,5684789,0.203028179,7.00
How to Lose Friends & Alienate People,How to Lose Friends & Alienate People,27000000,17286299,0.640233296,6.40
Kick-Ass 2,Kick-Ass 2,28000000,60700000,2.167857143,6.50
Brick Mansions,Brick Mansions,28000000,68896829,2.460601036,5.70
Octopussy,Octopussy,27500000,187500000,6.818181818,6.60
Knocked Up,Knocked Up,30000000,219076518,7.3025506,6.90
My Sister's Keeper,My Sister's Keeper,30000000,95714875,3.190495833,7.40
Welcome Home Roscoe Jenkins,Welcome Home Roscoe Jenkins,35000000,43650785,1.247165286,5.50
A Passage to India,A Passage to India,8000000,27187653,3.398456625,7.30
Notes on a Scandal,Notes on a Scandal,15000000,49469904,3.2979936,7.40
Rendition,Rendition,27500000,24748670,0.899951636,6.80
Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,27000000,96900000,3.588888889,7.20
Kiss the Girls,Kiss the Girls,27000000,60527873,2.241773074,6.60
The Blues Brothers,The Blues Brothers,27000000,115229890,4.267773704,7.90
The Sisterhood of the Traveling Pants 2,The Sisterhood of the Traveling Pants 2,27000000,44352417,1.642682111,6.20
About a Boy,About a Boy,27000000,129000000,4.777777778,7.00
Lake Placid,Lake Placid,27000000,56870414,2.10631163,5.70
Lucky Number Slevin,Lucky Number Slevin,27000000,56308881,2.085514111,7.70
The Right Stuff,The Right Stuff,27000000,21500000,0.796296296,7.80
Anonymous,Anonymous,30000000,15395087,0.513169567,6.90
The NeverEnding Story,The NeverEnding Story,27000000,20158808,0.746622519,7.40
Dark City,Dark City,27000000,27200316,1.007419111,7.60
Return to Oz,Return to Oz,25000000,11137801,0.44551204,6.70
The Newton Boys,The Newton Boys,27000000,76000000,2.814814815,6.10
Case 39,Case 39,27000000,29000000,1.074074074,6.20
Suspect Zero,Suspect Zero,27000000,13000000,0.481481481,5.80
Money Monster,Money Monster,27000000,93282604,3.454911259,6.50
Mindhunters,Mindhunters,27000000,21148829,0.783289963,6.40
What Just Happened,What Just Happened,25000000,6673422,0.26693688,5.60
Paul Blart: Mall Cop,Paul Blart: Mall Cop,26000000,183293131,7.049735808,5.20
Freaky Friday,Freaky Friday,26000000,110230332,4.239628154,6.10
The 40 Year Old Virgin,The 40 Year Old Virgin,26000000,109449237,4.209586038,7.10
Shakespeare in Love,Shakespeare in Love,25000000,289317794,11.57271176,7.10
A Walk Among the Tombstones,A Walk Among the Tombstones,28000000,53181600,1.899342857,6.50
Kindergarten Cop,Kindergarten Cop,15000000,201957688,13.46384587,6.10
Pineapple Express,Pineapple Express,27000000,101624843,3.763883074,7.00
Ever After: A Cinderella Story,Ever After: A Cinderella Story,26000000,65705772,2.527145077,7.00
Open Range,Open Range,22000000,68296293,3.104376955,7.40
Flatliners,Flatliners,26000000,61489265,2.364971731,6.60
A Bridge Too Far,A Bridge Too Far,22000000,50750000,2.306818182,7.40
Red Eye,Red Eye,26000000,57891803,2.226607808,6.40
Final Destination 2,Final Destination 2,26000000,90426405,3.477938654,6.20
"O Brother, Where Art Thou?","O Brother, Where Art Thou?",26000000,71868327,2.764166423,7.70
Legion,Legion,26000000,67918658,2.612256077,5.20
Pain & Gain,Pain & Gain,25000000,86175291,3.44701164,6.40
Clockstoppers,Clockstoppers,26000000,38793283,1.492049346,5.20
Brothers,Brothers,26000000,43318349,1.666090346,7.10
Agent Cody Banks 2: Destination London,Agent Cody Banks 2: Destination London,26000000,28818995,1.108422885,4.50
New Year's Eve,New Year's Eve,56000000,142044638,2.536511393,5.70
Original Sin,Original Sin,42000000,35402320,0.842912381,6.10
The Raven,The Raven,26000000,29657751,1.140682731,6.40
Welcome to Mooseport,Welcome to Mooseport,30000000,14000000,0.466666667,5.20
Highlander: The Final Dimension,Highlander: The Final Dimension,26000000,36800000,1.415384615,4.50
Flipper,Flipper,25530000,20080020,0.786526439,5.20
Self/less,Self/less,26000000,30523226,1.173970231,6.50
The Constant Gardener,The Constant Gardener,25000000,82466670,3.2986668,7.40
Gran Torino,Gran Torino,33000000,269958228,8.180552364,8.10
W.,W.,25100000,29506464,1.175556335,6.30
Taken,Taken,25000000,226830568,9.07322272,7.80
The Best of Me,The Best of Me,26000000,35926213,1.381777423,6.70
Schindler's List,Schindler's List,22000000,321365567,14.60752577,8.90
The Help,The Help,25000000,124272124,4.97088496,8.10
The Fifth Estate,The Fifth Estate,28000000,8555008,0.305536,6.20
Freddy vs. Jason,Freddy vs. Jason,30000000,114908830,3.830294333,5.70
Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,25000000,80936232,3.23744928,6.00
Cloverfield,Cloverfield,25000000,170764026,6.83056104,7.00
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,78000000,3.12,6.00
The Untouchables,The Untouchables,25000000,76270454,3.05081816,7.90
No Country for Old Men,No Country for Old Men,25000000,171600000,6.864,8.10
Ride Along,Ride Along,25000000,153997819,6.15991276,6.20
Bridget Jones's Diary,Bridget Jones's Diary,25000000,281929795,11.2771918,6.70
Chocolat,Chocolat,25000000,152500343,6.10001372,7.20
"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde",45000000,124914842,2.775885378,4.80
Parental Guidance,Parental Guidance,25000000,119772232,4.79088928,6.00
No Strings Attached,No Strings Attached,25000000,147780440,5.9112176,6.20
Tombstone,Tombstone,25000000,56505065,2.2602026,7.80
Romeo Must Die,Romeo Must Die,25000000,91036760,3.6414704,6.10
Final Destination 3,Final Destination 3,25000000,117719158,4.70876632,5.80
The Lucky One,The Lucky One,25000000,99357138,3.97428552,6.50
Bridge to Terabithia,Bridge to Terabithia,60000000,137587063,2.293117717,7.10
Finding Neverland,Finding Neverland,25000000,116766556,4.67066224,7.70
The Grey,The Grey,25000000,77278331,3.09113324,6.80
Hide and Seek,Hide and Seek,25000000,122644820,4.9057928,6.00
Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,26000000,90574188,3.483622615,7.20
GoodFellas,GoodFellas,25000000,46836394,1.87345576,8.70
Agent Cody Banks,Agent Cody Banks,28000000,58795814,2.0998505,5.00
Nanny McPhee,Nanny McPhee,25000000,122489822,4.89959288,6.50
Scarface,Scarface,25000000,65884703,2.63538812,8.30
The Last Emperor,The Last Emperor,23000000,43984230,1.912357826,7.70
Contraband,Contraband,25000000,63100000,2.524,6.50
There Will Be Blood,There Will Be Blood,25000000,77208711,3.08834844,8.20
Undercover Brother,Undercover Brother,25000000,41604473,1.66417892,5.80
The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,25000000,39053061,1.56212244,6.50
Kiss of the Dragon,Kiss of the Dragon,25000000,64437847,2.57751388,6.60
The House Bunny,The House Bunny,25000000,70442940,2.8177176,5.50
Beauty Shop,Beauty Shop,25000000,36351350,1.454054,5.50
Million Dollar Arm,Million Dollar Arm,25000000,38307627,1.53230508,7.00
The Giver,The Giver,25000000,66980456,2.67921824,6.50
Jeepers Creepers 2,Jeepers Creepers 2,17000000,63102666,3.711921529,5.60
Good Luck Chuck,Good Luck Chuck,25000000,59192128,2.36768512,5.60
Cradle 2 the Grave,Cradle 2 the Grave,25000000,56489558,2.25958232,5.80
The Hours,The Hours,25000000,41597830,1.6639132,7.50
She's the Man,She's the Man,20000000,33889159,1.69445795,6.30
Mr. Bean's Holiday,Mr. Bean's Holiday,25000000,229736344,9.18945376,6.40
Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,20000000,70992898,3.5496449,4.60
Blood Ties,Blood Ties,25500000,2415472,0.094724392,6.50
August Rush,August Rush,25000000,66122026,2.64488104,7.50
Elizabeth,Elizabeth,30000000,82150642,2.738354733,7.40
Bride of Chucky,Bride of Chucky,25000000,50671850,2.026874,5.40
Tora! Tora! Tora!,Tora! Tora! Tora!,25485000,29548291,1.159438532,7.50
Spice World,Spice World,25000000,100000000,4,3.50
The Sitter,The Sitter,25000000,34942188,1.39768752,5.70
The Shawshank Redemption,The Shawshank Redemption,25000000,28341469,1.13365876,9.30
Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,21150000,39438674,1.864712719,4.80
Kingpin,Kingpin,27000000,25023434,0.926793852,6.90
The Gambler,The Gambler,25000000,39171130,1.5668452,6.00
August: Osage County,August: Osage County,25000000,74188937,2.96755748,7.20
Ice Princess,Ice Princess,25000000,27645491,1.10581964,6.00
A Lot Like Love,A Lot Like Love,30000000,42886719,1.4295573,6.60
Eddie the Eagle,Eddie the Eagle,23000000,46152800,2.006643478,7.40
He Got Game,He Got Game,25000000,21567853,0.86271412,6.90
Don Juan DeMarco,Don Juan DeMarco,25000000,22200000,0.888,6.70
Dear John,Dear John,25000000,114977104,4.59908416,6.30
The Losers,The Losers,25000000,23580000,0.9432,6.30
Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,25000000,36993168,1.47972672,5.60
War,War,25000000,40452643,1.61810572,6.20
Punch-Drunk Love,Punch-Drunk Love,25000000,17000000,0.68,7.30
EuroTrip,EuroTrip,25000000,20796847,0.83187388,6.60
The Greatest Game Ever Played,The Greatest Game Ever Played,25000000,15431177,0.61724708,7.40
The Box,The Box,30000000,33333531,1.1111177,5.50
The Next Best Thing,The Next Best Thing,25000000,24362772,0.97451088,4.70
My Soul to Take,My Soul to Take,25000000,19829957,0.79319828,4.80
The Girl Next Door,The Girl Next Door,25000000,30411183,1.21644732,6.70
Maximum Risk,Maximum Risk,25000000,51702483,2.06809932,5.50
Legend,Legend,25000000,42972994,1.71891976,6.90
Shark Night,Shark Night,28000000,10126458,0.361659214,3.10
Angela's Ashes,Angela's Ashes,25,13,0.52,7.30
Draft Day,Draft Day,25000000,28831145,1.1532458,6.80
The Conspirator,The Conspirator,25000000,15478800,0.619152,6.90
Lords of Dogtown,Lords of Dogtown,25000000,13411957,0.53647828,7.10
The 33,The 33,25000000,24902723,0.99610892,6.90
Big Trouble in Little China,Big Trouble in Little China,25000000,11000000,0.44,7.30
Warrior,Warrior,25000000,23057115,0.9222846,8.20
Michael Collins,Michael Collins,28000000,16900000,0.603571429,7.20
Stop-Loss,Stop-Loss,25000000,11207130,0.4482852,6.40
Abandon,Abandon,25000000,10719357,0.42877428,4.90
Brokedown Palace,Brokedown Palace,25000000,13000000,0.52,6.50
The Possession,The Possession,14000000,85446075,6.103291071,5.90
Mrs. Winterbourne,Mrs. Winterbourne,25000000,10070000,0.4028,6.20
Straw Dogs,Straw Dogs,25000000,10324441,0.41297764,7.50
The Hoax,The Hoax,25000000,11772461,0.47089844,6.70
The Road,The Road,32000000,27635305,0.863603281,7.20
Sheena,Sheena,25000000,5778353,0.23113412,4.90
Tank Girl,Tank Girl,25000000,4064495,0.1625798,5.30
Blindness,Blindness,25000000,19844979,0.79379916,6.60
BloodRayne,BloodRayne,25000000,2405420,0.0962168,2.90
Carnage,Carnage,25000000,27603069,1.10412276,7.20
Without Limits,Without Limits,25000000,777423,0.03109692,7.20
Me and Orson Welles,Me and Orson Welles,25000000,2336172,0.09344688,6.70
The Best Offer,The Best Offer,13500000,19255873,1.426360963,7.80
Little White Lies,Little White Lies,25000000,48531470,1.9412588,7.10
Space Dogs,Space Dogs,25000000,6500000,0.26,5.10
The Counselor,The Counselor,25000000,71009334,2.84037336,7.20
Waterloo,Waterloo,25000000,3052000,0.12208,7.30
Dangerous Liaisons,Dangerous Liaisons,14000000,34670720,2.47648,7.60
On the Road,On the Road,25000000,8784318,0.35137272,6.10
Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,24000000,133000000,5.541666667,7.30
Rocky Balboa,Rocky Balboa,24000000,155721132,6.4883805,7.10
Scream 2,Scream 2,24000000,172363301,7.181804208,6.20
Jane Got a Gun,Jane Got a Gun,25000000,1397284,0.05589136,5.90
Think Like a Man Too,Think Like a Man Too,24000000,70181428,2.924226167,5.80
The Whole Nine Yards,The Whole Nine Yards,41300000,106371651,2.57558477,6.70
Footloose,Footloose,8200000,80035402,9.760414878,6.60
Old School,Old School,24000000,87055349,3.627306208,7.10
The Fisher King,The Fisher King,24000000,41895491,1.745645458,7.50
I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,65000000,40002112,0.615417108,4.70
Return to Me,Return to Me,24000000,36609995,1.525416458,6.90
Zack and Miri Make a Porno,Zack and Miri Make a Porno,24000000,42105111,1.754379625,6.50
The Men Who Stare at Goats,The Men Who Stare at Goats,24000000,68729358,2.86372325,6.20
Win a Date with Tad Hamilton!,Win a Date with Tad Hamilton!,17000000,16980098,0.998829294,5.60
Muppets from Space,Muppets from Space,24000000,16290976,0.678790667,6.30
The Wiz,The Wiz,24000000,21049053,0.877043875,5.40
Ready to Rumble,Ready to Rumble,24000000,12372410,0.515517083,5.40
Play It to the Bone,Play It to the Bone,24000000,8434146,0.35142275,5.50
I Don't Know How She Does It,I Don't Know How She Does It,24000000,30551495,1.272978958,4.90
Piranha 3D,Piranha 3D,24000000,83188165,3.466173542,5.40
Meet the Deedles,Meet the Deedles,24000000,4562146,0.190089417,4.10
The Thief and the Cobbler,The Thief and the Cobbler,28000000,669276,0.023902714,7.10
Faster,Faster,24000000,23081726,0.961738583,6.40
Howl's Moving Castle,Howl's Moving Castle,24000000,234710455,9.779602292,8.20
Zombieland,Zombieland,23600000,102391382,4.338617881,7.60
The Waterboy,The Waterboy,23000000,185991646,8.086593304,6.10
Bad Boys,Bad Boys,19000000,141407024,7.442474947,6.90
Final Destination,Final Destination,23000000,53302314,2.317491913,6.70
The Ides of March,The Ides of March,12500000,75993061,6.07944488,7.10
Pitch Black,Pitch Black,23000000,53187659,2.312506913,7.10
Her,Her,23000000,47351251,2.058750043,8.00
Joy Ride,Joy Ride,23000000,36642838,1.59316687,6.60
The Adventurer: The Curse of the Midas Box,The Adventurer: The Curse of the Midas Box,25000000,6399,0.00025596,5.40
Anywhere But Here,Anywhere But Here,23000000,18653615,0.811026739,6.20
Haywire,Haywire,23000000,33372606,1.45098287,5.80
Jaws: The Revenge,Jaws: The Revenge,23000000,51881013,2.255696217,2.90
The End of the Affair,The End of the Affair,23000000,10827816,0.470774609,7.10
Harley Davidson and the Marlboro Man,Harley Davidson and the Marlboro Man,23000000,7434726,0.323248957,6.20
In the Valley of Elah,In the Valley of Elah,23000000,29541790,1.284425652,7.10
Cheri,Cheri,23000000,9366227,0.407227261,3.40
Vanity Fair,Vanity Fair,23000000,16123851,0.701037,6.20
Bodyguards and Assassins,Bodyguards and Assassins,23000000,5837674,0.253811913,6.80
1408,1408,25000000,94679598,3.78718392,6.80
Spaceballs,Spaceballs,22700000,38119483,1.679272379,7.10
The Water Diviner,The Water Diviner,22500000,15520023,0.6897788,7.00
The Santa Clause,The Santa Clause,22000000,189833357,8.628788955,6.40
The Rookie,The Rookie,20000000,75597042,3.7798521,6.90
The Game Plan,The Game Plan,22000000,147880543,6.721842864,6.10
The Bridges of Madison County,The Bridges of Madison County,24000000,182016617,7.584025708,7.60
The Animal,The Animal,22000000,84772742,3.853306455,4.80
Gandhi,Gandhi,22000000,77737889,3.533540409,8.00
The Hundred-Foot Journey,The Hundred-Foot Journey,22000000,88880821,4.040037318,7.30
The Net,The Net,22000000,110627965,5.028543864,5.90
I Am Sam,I Am Sam,22000000,92542418,4.206473545,7.60
Son of God,Son of God,22000000,67800064,3.081821091,5.70
Underworld,Underworld,22000000,95708457,4.350384409,7.00
Derailed,Derailed,22000000,57479076,2.612685273,6.60
The Informant!,The Informant!,22000000,35424826,1.610219364,6.40
Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,22000000,22400154,1.018188818,4.70
Delivery Man,Delivery Man,26000000,51164106,1.967850231,6.40
Saving Silverman,Saving Silverman,22000000,19351569,0.879616773,5.90
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,22000000,77112176,3.505098909,6.30
Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,22000000,33788161,1.5358255,6.80
The Glass House,The Glass House,30000000,23619609,0.7873203,5.80
"Hail, Caesar!","Hail, Caesar!",22000000,63647656,2.893075273,6.30
Homefront,Homefront,22000000,43058898,1.957222636,6.50
The Little Vampire,The Little Vampire,22000000,13555988,0.616181273,5.70
RoboCop 3,RoboCop 3,22000000,10696210,0.486191364,4.10
The Transporter Refueled,The Transporter Refueled,25000000,72629670,2.9051868,5.20
Black Book,Black Book,21000000,26193068,1.247288952,7.70
Hit & Run,Hit & Run,2000000,14400000,7.2,6.10
Before I Go to Sleep,Before I Go to Sleep,22000000,15447154,0.702143364,6.30
Sorcerer,Sorcerer,22000000,12000000,0.545454545,7.70
Stone,Stone,22000000,9479718,0.430896273,5.40
Out of the Furnace,Out of the Furnace,22000000,15400000,0.7,6.80
Michael Clayton,Michael Clayton,25000000,92991835,3.7196734,7.20
Underdogs,Underdogs,22000000,24000000,1.090909091,6.50
To Rome with Love,To Rome with Love,17000000,73244881,4.308522412,6.30
Firefox,Firefox,18000000,70687344,3.927074667,5.90
Death at a Funeral,Death at a Funeral,9000000,46,5.11111E-06,7.40
Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles III,21000000,42000000,2,4.80
Hardball,Hardball,32000000,40222729,1.256960281,6.40
Silver Linings Playbook,Silver Linings Playbook,21000000,205738714,9.797081619,7.70
Freedom Writers,Freedom Writers,21000000,41170784,1.960513524,7.50
The Transporter,The Transporter,21000000,43928932,2.091853905,6.80
Never Back Down,Never Back Down,20000000,41627431,2.08137155,6.60
The Rage: Carrie 2,The Rage: Carrie 2,21000000,17762705,0.845843095,4.70
Away We Go,Away We Go,17000000,14899417,0.876436294,7.00
Swing Vote,Swing Vote,21000000,17600000,0.838095238,6.10
Moonlight Mile,Moonlight Mile,21000000,10011050,0.476716667,6.60
The Beaver,The Beaver,21000000,970816,0.046229333,6.70
The Best Little Whorehouse in Texas,The Best Little Whorehouse in Texas,35000000,69701637,1.991475343,5.90
eXistenZ,eXistenZ,15000000,2856712,0.190447467,6.80
Pulse,Pulse,38000000,29907685,0.787044342,4.80
Beverly Hills Cop II,Beverly Hills Cop II,20000000,299965036,14.9982518,6.50
Bringing Down the House,Bringing Down the House,20000000,132675402,6.6337701,5.60
The Silence of the Lambs,The Silence of the Lambs,19000000,272742922,14.35489063,8.60
Wayne's World,Wayne's World,20000000,121697323,6.08486615,7.00
Jackass 3D,Jackass 3D,20000000,117224271,5.86121355,7.00
Jaws 2,Jaws 2,20000000,187884007,9.39420035,5.80
Beverly Hills Chihuahua,Beverly Hills Chihuahua,20000000,149281606,7.4640803,3.80
Are We There Yet?,Are We There Yet?,32000000,97918663,3.059958219,4.70
Tammy,Tammy,20000000,100525432,5.0262716,4.90
School of Rock,School of Rock,35000000,131282949,3.7509414,7.10
Mortal Kombat,Mortal Kombat,18000000,122195920,6.788662222,5.80
White Chicks,White Chicks,37000000,113086475,3.056391216,5.60
The Descendants,The Descendants,20000000,177243185,8.86215925,7.30
12 Years a Slave,12 Years a Slave,20000000,187000000,9.35,8.10
Drumline,Drumline,20000000,57588485,2.87942425,5.80
Why Did I Get Married Too?,Why Did I Get Married Too?,20000000,60072596,3.0036298,4.60
Edward Scissorhands,Edward Scissorhands,20000000,53000000,2.65,7.90
Me Before You,Me Before You,20000000,207945075,10.39725375,7.40
Bad Moms,Bad Moms,20000000,183936074,9.1968037,6.20
Date Movie,Date Movie,20000000,48548426,2.4274213,2.80
Return to Never Land,Return to Never Land,20000000,109862682,5.4931341,5.80
Selma,Selma,20000000,66787908,3.3393954,7.50
The Jungle Book 2,The Jungle Book 2,20000000,135680000,6.784,5.40
Boogeyman,Boogeyman,20000000,67192859,3.35964295,4.20
Premonition,Premonition,20000000,84146832,4.2073416,5.90
The Tigger Movie,The Tigger Movie,30000000,45554533,1.518484433,6.30
Orphan,Orphan,20000000,41596251,2.07981255,6.90
Max,Max,20000000,43967255,2.19836275,6.70
Epic Movie,Epic Movie,20000000,86865564,4.3432782,2.40
Spotlight,Spotlight,20000000,88346473,4.41732365,8.10
Lakeview Terrace,Lakeview Terrace,20000000,27640028,1.3820014,6.10
The Grudge 2,The Grudge 2,20000000,39143839,1.95719195,5.00
How Stella Got Her Groove Back,How Stella Got Her Groove Back,20000000,37672350,1.8836175,5.70
Man of the Year,Man of the Year,20000000,41237648,2.0618824,6.20
The Black Hole,The Black Hole,20000000,35841901,1.79209505,6.00
The American,The American,20000000,65464324,3.2732162,6.30
Selena,Selena,20000000,60000000,3,6.70
Vampires Suck,Vampires Suck,20000000,80547866,4.0273933,3.40
Babel,Babel,25000000,135330182,5.41320728,7.40
This Is Where I Leave You,This Is Where I Leave You,19800000,41296320,2.085672727,6.60
Doubt,Doubt,20000000,50907234,2.5453617,7.50
Team America: World Police,Team America: World Police,32000000,50907422,1.590856938,7.20
Texas Chainsaw 3D,Texas Chainsaw 3D,20000000,47241945,2.36209725,4.80
Scary Movie 5,Scary Movie 5,20000000,78378744,3.9189372,3.50
Paint Your Wagon,Paint Your Wagon,20000000,31678778,1.5839389,6.60
Milk,Milk,20000000,54586584,2.7293292,7.50
Risen,Risen,20000000,46069568,2.3034784,6.30
Ghost Ship,Ghost Ship,35000000,68349884,1.952853829,5.50
A Very Harold & Kumar Christmas,A Very Harold & Kumar Christmas,19000000,35387212,1.862484842,6.30
Wild Things,Wild Things,20000000,67200000,3.36,6.50
The Debt,The Debt,20000000,45636368,2.2818184,6.80
High Fidelity,High Fidelity,30000000,47126295,1.5708765,7.50
The Bank Job,The Bank Job,20000000,64822796,3.2411398,7.20
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,20000000,72258126,3.6129063,8.30
You Again,You Again,20000000,32005248,1.6002624,5.80
Street Kings,Street Kings,20000000,65569869,3.27849345,6.80
The World's End,The World's End,20000000,46089287,2.30446435,7.00
Daybreakers,Daybreakers,20000000,51416464,2.5708232,6.40
She's Out of My League,She's Out of My League,20000000,49779728,2.4889864,6.40
Monte Carlo,Monte Carlo,20000000,17425000,0.87125,5.80
Stay Alive,Stay Alive,9000000,27105095,3.011677222,5.10
Alpha and Omega,Alpha and Omega,20000000,39300000,1.965,5.20
The Covenant,The Covenant,20000000,37597471,1.87987355,5.30
Shorts,Shorts,40000000,28972508,0.7243127,4.80
To Die For,To Die For,20000000,21284514,1.0642257,6.80
Nerve,Nerve,20000000,83707310,4.1853655,6.50
Appaloosa,Appaloosa,20000000,20211394,1.0105697,6.70
My Best Friend's Girl,My Best Friend's Girl,20000000,36620508,1.8310254,5.90
Endless Love,Endless Love,20000000,34077920,1.703896,6.30
Under the Rainbow,Under the Rainbow,20000000,2297493,0.11487465,5.40
Ladyhawke,Ladyhawke,20000000,18432000,0.9216,7.00
Simon Birch,Simon Birch,20000000,18253415,0.91267075,6.90
Reign Over Me,Reign Over Me,20000000,22222308,1.1111154,7.40
Into the Wild,Into the Wild,15000000,56255142,3.7503428,8.10
School for Scoundrels,School for Scoundrels,20000000,17807569,0.89037845,5.90
From Dusk Till Dawn,From Dusk Till Dawn,19000000,25836616,1.359821895,7.20
Kung Fu Hustle,Kung Fu Hustle,20000000,100914445,5.04572225,7.70
The Kite Runner,The Kite Runner,20000000,73276047,3.66380235,7.60
21 Grams,21 Grams,20000000,60427839,3.02139195,7.70
Paparazzi,Paparazzi,20000000,16605763,0.83028815,5.80
A Guy Thing,A Guy Thing,20000000,17432163,0.87160815,5.60
Capitalism: A Love Story,Capitalism: A Love Story,20000000,17436509,0.87182545,7.40
The Greatest Story Ever Told,The Greatest Story Ever Told,20000000,15473333,0.77366665,6.60
Secret in Their Eyes,Secret in Their Eyes,19500000,34854990,1.787435385,6.30
Disaster Movie,Disaster Movie,25000000,14109284,0.56437136,1.90
Armored,Armored,20000000,22942221,1.14711105,5.70
The Man Who Knew Too Little,The Man Who Knew Too Little,20000000,13801755,0.69008775,6.70
What's Your Number?,What's Your Number?,20000000,30426096,1.5213048,6.10
Lockout,Lockout,20000000,32204030,1.6102015,6.10
Crank: High Voltage,Crank: High Voltage,20000000,34560577,1.72802885,6.20
One Night with the King,One Night with the King,20000000,13391174,0.6695587,6.20
The Quiet American,The Quiet American,30000000,27674124,0.9224708,7.00
The Weather Man,The Weather Man,20000000,12482775,0.62413875,6.50
Undisputed,Undisputed,20000000,12398628,0.6199314,6.20
12 Rounds,12 Rounds,20000000,17280326,0.8640163,5.60
Let Me In,Let Me In,20000000,24145613,1.20728065,7.10
Triple 9,Triple 9,20000000,12639297,0.63196485,6.30
Deconstructing Harry,Deconstructing Harry,20000000,10686841,0.53434205,7.40
Burnt,Burnt,20000000,36606743,1.83033715,6.60
Death Sentence,Death Sentence,20000000,16974459,0.84872295,6.80
Code Name: The Cleaner,Code Name: The Cleaner,20000000,10337477,0.51687385,4.60
Connie and Carla,Connie and Carla,20000000,11341016,0.5670508,6.20
Sweet Charity,Sweet Charity,8000000,20000000,2.5,7.00
Inherent Vice,Inherent Vice,20000000,11110975,0.55554875,6.70
Battle of the Year,Battle of the Year,20000000,16549477,0.82747385,5.00
An American Carol,An American Carol,20000000,7000000,0.35,4.10
Machete Kills,Machete Kills,12000000,15008161,1.250680083,5.60
Little Boy,Little Boy,20000000,6420319,0.32101595,7.40
A Dangerous Method,A Dangerous Method,15000000,27462041,1.830802733,6.40
A Scanner Darkly,A Scanner Darkly,8700000,7659918,0.880450345,7.10
Alone in the Dark,Alone in the Dark,20000000,10442808,0.5221404,2.40
Bandslam,Bandslam,20000000,5210988,0.2605494,6.30
A Most Violent Year,A Most Violent Year,20000000,12007070,0.6003535,7.00
I'm Not There.,I'm Not There.,20000000,4001121,0.20005605,6.90
The Cold Light of Day,The Cold Light of Day,20000000,16863583,0.84317915,4.90
The Brothers Bloom,The Brothers Bloom,20000000,5530764,0.2765382,6.80
Princess Mononoke,Princess Mononoke,26500000,159375308,6.014162566,8.40
The Proposition,The Proposition,2000000,5048693,2.5243465,7.40
Marci X,Marci X,20000000,1675706,0.0837853,2.80
Equilibrium,Equilibrium,20000000,5359645,0.26798225,7.40
The Children of Huang Shi,The Children of Huang Shi,40000000,7400000,0.185,7.00
By the Sea,By the Sea,10000000,3727746,0.3727746,5.30
Rapa Nui,Rapa Nui,20000000,305070,0.0152535,6.40
Dylan Dog: Dead of Night,Dylan Dog: Dead of Night,20000000,4634062,0.2317031,5.10
The Tempest,The Tempest,20000000,346594,0.0173297,5.30
The Frozen Ground,The Frozen Ground,27220000,5496951,0.201945298,6.40
Bad Teacher,Bad Teacher,20000000,216197492,10.8098746,5.60
Sea of Love,Sea of Love,19000000,110879513,5.835763842,6.80
A Cinderella Story,A Cinderella Story,19000000,70067909,3.687784684,5.90
